seed,noise_p,condition,label,delta_pilot
45,0.02,z_only,1,5.608439139159536
45,0.02,z_only,1,5.661706316755837
45,0.02,z_only,1,6.038524046335673
45,0.02,z_only,1,5.407663549936379
45,0.05,clean,0,4.076405476262004
45,0.05,clean,0,4.3672430774366156
45,0.05,clean,0,4.212579683032398
45,0.05,clean,0,4.033879112307408
45,0.05,clean,0,4.521660842797499
45,0.05,clean,0,3.776430779976531
45,0.05,clean,0,3.9205861981284253
45,0.05,clean,0,3.823632967189477
45,0.05,clean,0,3.74584149710044
45,0.05,clean,0,3.6545060313387485
45,0.05,clean,0,4.060572902683347
45,0.05,clean,0,4.009374556563946
45,0.05,clean,0,4.149805964541376
45,0.05,clean,0,3.620972305086433
45,0.05,clean,0,3.67373482590512
45,0.05,zz_full,1,6.195093583533032
45,0.05,zz_full,1,6.486542339143668
45,0.05,zz_full,1,6.027044772945101
45,0.05,zz_full,1,6.608790325866471
45,0.05,zz_full,1,6.603936078436748
45,0.05,zz_full,1,6.28520471006202
45,0.05,zz_full,1,5.620772116159362
45,0.05,zz_full,1,6.826344157843594
45,0.05,zz_full,1,6.2034219113296585
45,0.05,zz_full,1,6.501966115227223
45,0.05,zz_full,1,6.582208940628071
45,0.05,zz_full,1,6.6678111142596705
45,0.05,zz_full,1,5.738305386287163
45,0.05,zz_full,1,6.2220854585138365
45,0.05,zz_full,1,6.27949021569436
45,0.05,z_only,1,5.100232463154511
45,0.05,z_only,1,6.214810498110998
45,0.05,z_only,1,6.129784546298736
45,0.05,z_only,1,5.610973956836563
45,0.05,z_only,1,6.111540709436097
45,0.05,z_only,1,5.879520395816143
45,0.05,z_only,1,5.686327836065258
45,0.05,z_only,1,4.743647193641344
45,0.05,z_only,1,5.430774132086772
45,0.05,z_only,1,6.0367196796759295
45,0.05,z_only,1,5.410017254076962
45,0.05,z_only,1,6.73573998921355
45,0.05,z_only,1,5.65316477523157
45,0.05,z_only,1,5.440927629394394
45,0.05,z_only,1,5.5314412018215755
45,0.1,clean,0,4.354244120631247
45,0.1,clean,0,3.798439723414451
45,0.1,clean,0,4.151835318275577
45,0.1,clean,0,4.06005005044037
45,0.1,clean,0,4.465711866078203
45,0.1,clean,0,3.793806456284646
45,0.1,clean,0,3.736738753884637
