seed,damping_g,condition,label,delta_pilot
45,0.05,clean,0,4.252630002007144
45,0.05,clean,0,4.435427765254605
45,0.05,clean,0,4.103776908478034
45,0.05,clean,0,4.027837664522863
45,0.05,clean,0,3.979072099064051
45,0.05,clean,0,3.7915554260206443
45,0.05,clean,0,3.8866624390724147
45,0.05,clean,0,4.032782817033878
45,0.05,clean,0,3.6824633978507393
45,0.05,clean,0,4.586155902063892
45,0.05,clean,0,4.161429643672948
45,0.05,zz_full,1,5.535521494196277
45,0.05,zz_full,1,5.707501189770655
45,0.05,zz_full,1,5.740054241560627
45,0.05,zz_full,1,5.861054091894645
45,0.05,zz_full,1,5.332413950087801
45,0.05,zz_full,1,5.498046652682384
45,0.05,zz_full,1,5.495843920117939
45,0.05,zz_full,1,6.082989081260981
45,0.05,zz_full,1,6.504466420451302
45,0.05,zz_full,1,5.4859473237061005
45,0.05,zz_full,1,5.89214850701532
45,0.05,zz_full,1,5.748040446591609
45,0.05,zz_full,1,5.38344883193026
45,0.05,zz_full,1,6.3687366990733105
45,0.05,zz_full,1,6.416581865290282
45,0.05,z_only,1,5.6137015159931725
45,0.05,z_only,1,5.793033352474756
45,0.05,z_only,1,5.685106970574978
45,0.05,z_only,1,5.713827953148102
45,0.05,z_only,1,6.128551043852872
45,0.05,z_only,1,5.621483330870738
45,0.05,z_only,1,5.3706133267593925
45,0.05,z_only,1,5.0183796612871685
45,0.05,z_only,1,5.489112648632154
45,0.05,z_only,1,5.50982620349454
45,0.05,z_only,1,5.125931136484742
45,0.05,z_only,1,5.823913319514292
45,0.05,z_only,1,5.3772917637572615
45,0.05,z_only,1,5.571566986188654
45,0.05,z_only,1,5.354123235453486
45,0.1,clean,0,4.493021289343602
45,0.1,clean,0,4.02661601097756
45,0.1,clean,0,4.485575507304134
45,0.1,clean,0,3.928509157000016
45,0.1,clean,0,4.420523646436278
45,0.1,clean,0,3.8677940564240845
45,0.1,clean,0,4.289804312767507
45,0.1,clean,0,3.9087110496382835
45,0.1,clean,0,4.032046250790302
45,0.1,clean,0,3.7767514804338855
45,0.1,clean,0,3.9664315306889084
45,0.1,clean,0,3.9452021649181233
45,0.1,clean,0,3.5609393818876365
45,0.1,clean,0,3.2524952332029087
45,0.1,clean,0,4.29468001880972
45,0.1,zz_full,1,5.305704853533379
45,0.1,zz_full,1,6.020668790020473
45,0.1,zz_full,1,4.773070616092845
45,0.1,zz_full,1,5.442981329490812
45,0.1,zz_full,1,6.210233022774812
45,0.1,zz_full,1,5.6798275297671985
45,0.1,zz_full,1,5.296153037159062
45,0.1,zz_full,1,5.540352947348995
45,0.1,zz_full,1,5.760369445899562
45,0.1,zz_full,1,5.44366968478723
45,0.1,zz_full,1,5.772700399962862
45,0.1,zz_full,1,5.450430173657119
45,0.1,zz_full,1,5.614712486919339
45,0.1,zz_full,1,5.67008232988778
45,0.1,zz_full,1,6.474771189667955
45,0.1,z_only,1,5.594833633933107
45,0.1,z_only,1,5.629370548964978
45,0.1,z_only,1,5.671724104889517
45,0.1,z_only,1,5.0368637655852515
45,0.1,z_only,1,6.035818353993912
45,0.1,z_only,1,4.73020355078595
45,0.1,z_only,1,5.83578262839318
45,0.1,z_only,1,5.2457387716099975
45,0.1,z_only,1,5.697886046611828
45,0.1,z_only,1,5.915551889059232
45,0.1,z_only,1,5.376061511283847
45,0.1,z_only,1,5.472231132059108
45,0.1,z_only,1,5.78806576571548
45,0.1,z_only,1,5.951311679521512
45,0.1,z_only,1,5.04659599933233
46,0.0,clean,0,3.576377647309883
46,0.0,clean,0,3.7501320936722076
46,0.0,clean,0,3.4582787608208188
46,0.0,clean,0,3.798242858601033
46,0.0,clean,0,3.552542242423849
46,0.0,clean,0,4.443146231448532
46,0.0,clean,0,3.332920798384284
46,0.0,clean,0,4.323431333175101
46,0.0,clean,0,4.201656545793875
46,0.0,clean,0,3.730987549247016
46,0.0,clean,0,3.242751869613686
46,0.0,clean,0,3.6670731165485373
46,0.0,clean,0,4.003225492751728
46,0.0,clean,0,3.878887699226293
46,0.0,clean,0,3.1232223744952625
46,0.0,zz_full,1,5.876657690677426
46,0.0,zz_full,1,6.765068431151793
46,0.0,zz_full,1,5.925932337924815
46,0.0,zz_full,1,5.911068507669743
46,0.0,zz_full,1,6.698602788980087
46,0.0,zz_full,1,6.26394785664504
46,0.0,zz_full,1,6.289764366564429
46,0.0,zz_full,1,5.858728187247991
46,0.0,zz_full,1,6.778889497610992
46,0.0,zz_full,1,6.1279922333388
46,0.0,zz_full,1,6.273068814083958
46,0.0,zz_full,1,5.702916742820746
46,0.0,zz_full,1,6.361826122267785
46,0.0,zz_full,1,5.252741992869879
46,0.0,zz_full,1,6.070039407623889
46,0.0,z_only,1,6.391767748027443
46,0.0,z_only,1,5.503621647167843
46,0.0,z_only,1,6.255265291990471
46,0.0,z_only,1,6.159530889422351
46,0.0,z_only,1,6.325066370535352
46,0.0,z_only,1,6.406035356291556
46,0.0,z_only,1,6.052559822202076
46,0.0,z_only,1,6.652812476559479
46,0.0,z_only,1,6.313565454173497
46,0.0,z_only,1,6.107774393848994
46,0.0,z_only,1,6.02103207490468
46,0.0,z_only,1,5.728292064342751
46,0.0,z_only,1,5.893541919051448
46,0.0,z_only,1,6.405411763037107
46,0.0,z_only,1,5.555268649052669
46,0.01,clean,0,4.184006242988982
46,0.01,clean,0,4.529899823521011
46,0.01,clean,0,4.465642214152226
46,0.01,clean,0,4.011860656900118
46,0.01,clean,0,4.72793463416184
46,0.01,clean,0,4.010130330858961
46,0.01,clean,0,3.755856525887681
46,0.01,clean,0,3.6071789639560974
46,0.01,clean,0,3.955883840256667
46,0.01,clean,0,4.129371741944611
46,0.01,clean,0,3.8821832303147272
46,0.01,clean,0,3.818755088975406
46,0.01,clean,0,4.180083736698423
46,0.01,clean,0,3.838658699037326
46,0.01,clean,0,3.769579667630801
46,0.01,zz_full,1,6.4156620723565885
46,0.01,zz_full,1,6.354697752831432
