seed,noise_p,zz_scale,condition,label,delta_pilot
42,0.01,0.15,zz_scale_0.15,1,4.603621503126168
42,0.01,0.15,zz_scale_0.15,1,4.378981294245784
42,0.01,0.15,zz_scale_0.15,1,4.148377544146729
42,0.01,0.15,zz_scale_0.15,1,4.18905632051283
42,0.01,0.15,zz_scale_0.15,1,3.9573978521906645
42,0.01,0.15,zz_scale_0.15,1,4.282785696933068
42,0.01,0.15,zz_scale_0.15,1,4.597341324824169
42,0.01,0.15,zz_scale_0.15,1,4.275353312057817
42,0.01,0.15,zz_scale_0.15,1,3.673269326989959
42,0.01,0.15,zz_scale_0.15,1,4.722667211519624
42,0.01,0.15,zz_scale_0.15,1,4.195035289663099
42,0.01,0.15,zz_scale_0.15,1,3.8992538762225126
42,0.01,0.15,zz_scale_0.15,1,4.785074837591029
42,0.01,0.15,zz_scale_0.15,1,3.992190956077065
42,0.01,0.3,zz_scale_0.3,1,4.622020333602785
42,0.01,0.3,zz_scale_0.3,1,4.942871941611222
42,0.01,0.3,zz_scale_0.3,1,5.327718738874194
42,0.01,0.3,zz_scale_0.3,1,4.898268636898546
42,0.01,0.3,zz_scale_0.3,1,5.672004863186933
42,0.01,0.3,zz_scale_0.3,1,4.971058285844359
42,0.01,0.3,zz_scale_0.3,1,5.032373255776422
42,0.01,0.3,zz_scale_0.3,1,5.036109936243682
